product_name,category,price,quantity_sold,sale_date,season,market_location
Eggplant,Vegetables,45,100,01/01/2024,Wet,Bulan Public Market
Tomato,Vegetables,60,107,08/01/2024,Wet,Bulan Public Market
Kangkong,Leafy Greens,20,114,15/01/2024,Wet,Bulan Public Market
Ampalaya,Vegetables,55,121,22/01/2024,Wet,Bulan Public Market
Sitaw,Vegetables,35,128,29/01/2024,Wet,Bulan Public Market
Okra,Vegetables,40,135,05/02/2024,Dry,Bulan Public Market
Kalabasa,Vegetables,50,142,12/02/2024,Dry,Bulan Public Market
Pechay,Leafy Greens,25,149,19/02/2024,Dry,Bulan Public Market
Repolyo,Vegetables,70,156,26/02/2024,Dry,Bulan Public Market
Carrots,Vegetables,80,163,04/03/2024,Dry,Bulan Public Market
Labanos,Vegetables,30,170,11/03/2024,Dry,Bulan Public Market
Patola,Vegetables,45,177,18/03/2024,Dry,Bulan Public Market
Upo,Vegetables,35,184,25/03/2024,Dry,Bulan Public Market
Sayote,Vegetables,40,191,01/04/2024,Dry,Bulan Public Market
Malunggay,Leafy Greens,15,198,08/04/2024,Dry,Bulan Public Market
Gabi,Root Crops,55,205,15/04/2024,Dry,Bulan Public Market
Kamote,Root Crops,50,212,22/04/2024,Dry,Bulan Public Market
Cassava,Root Crops,45,219,29/04/2024,Dry,Bulan Public Market
Onion,Vegetables,90,226,06/05/2024,Dry,Bulan Public Market
Garlic,Vegetables,120,233,13/05/2024,Dry,Bulan Public Market
Ginger,Vegetables,100,240,20/05/2024,Dry,Bulan Public Market
Bell Pepper,Vegetables,110,247,27/05/2024,Dry,Bulan Public Market
Chili,Vegetables,130,254,03/06/2024,Dry,Bulan Public Market
Cucumber,Vegetables,45,261,10/06/2024,Dry,Bulan Public Market
Lettuce,Leafy Greens,60,268,17/06/2024,Dry,Bulan Public Market
Mongo,Legumes,70,275,24/06/2024,Dry,Bulan Public Market
Peanut,Legumes,80,282,01/07/2024,Wet,Bulan Public Market
Alugbati,Leafy Greens,25,289,08/07/2024,Wet,Bulan Public Market
Mustasa,Leafy Greens,30,296,15/07/2024,Wet,Bulan Public Market
Basil,Herbs,35,303,22/07/2024,Wet,Bulan Public Market
Spring Onion,Vegetables,45,310,29/07/2024,Wet,Bulan Public Market
Leeks,Vegetables,60,317,05/08/2024,Wet,Bulan Public Market
Red Onion,Vegetables,95,324,12/08/2024,Wet,Bulan Public Market
White Onion,Vegetables,90,331,19/08/2024,Wet,Bulan Public Market
Corn,Vegetables,35,338,26/08/2024,Wet,Bulan Public Market
Green Peas,Legumes,85,345,02/09/2024,Wet,Bulan Public Market
Turnip,Root Crops,50,352,09/09/2024,Wet,Bulan Public Market
Spinach,Leafy Greens,35,359,16/09/2024,Wet,Bulan Public Market
Parsley,Herbs,45,366,23/09/2024,Wet,Bulan Public Market
Chayote Tops,Leafy Greens,25,373,30/09/2024,Wet,Bulan Public Market
Eggplant,Vegetables,45,380,07/10/2024,Wet,Bulan Public Market
Tomato,Vegetables,60,387,14/10/2024,Wet,Bulan Public Market
Kangkong,Leafy Greens,20,394,21/10/2024,Wet,Bulan Public Market
Ampalaya,Vegetables,55,101,28/10/2024,Wet,Bulan Public Market
Sitaw,Vegetables,35,108,04/11/2024,Wet,Bulan Public Market
Okra,Vegetables,40,115,11/11/2024,Wet,Bulan Public Market
Kalabasa,Vegetables,50,122,18/11/2024,Wet,Bulan Public Market
Pechay,Leafy Greens,25,129,25/11/2024,Wet,Bulan Public Market
Repolyo,Vegetables,70,136,02/12/2024,Wet,Bulan Public Market
Carrots,Vegetables,80,143,09/12/2024,Wet,Bulan Public Market
Labanos,Vegetables,30,150,16/12/2024,Wet,Bulan Public Market
Patola,Vegetables,45,157,23/12/2024,Wet,Bulan Public Market
Upo,Vegetables,35,164,30/12/2024,Wet,Bulan Public Market
Sayote,Vegetables,40,171,06/01/2025,Wet,Bulan Public Market
Malunggay,Leafy Greens,15,178,13/01/2025,Wet,Bulan Public Market
Gabi,Root Crops,55,185,20/01/2025,Wet,Bulan Public Market
Kamote,Root Crops,50,192,27/01/2025,Wet,Bulan Public Market
Cassava,Root Crops,45,199,03/02/2025,Dry,Bulan Public Market
Onion,Vegetables,90,206,10/02/2025,Dry,Bulan Public Market
Garlic,Vegetables,120,213,17/02/2025,Dry,Bulan Public Market
Ginger,Vegetables,100,220,24/02/2025,Dry,Bulan Public Market
Bell Pepper,Vegetables,110,227,03/03/2025,Dry,Bulan Public Market
Chili,Vegetables,130,234,10/03/2025,Dry,Bulan Public Market
Cucumber,Vegetables,45,241,17/03/2025,Dry,Bulan Public Market
Lettuce,Leafy Greens,60,248,24/03/2025,Dry,Bulan Public Market
