product_name,category,price,quantity_sold,sale_date,season,market_location
Rice Regular Milled,Rice,48.5,185,05/03/2026,Dry,Bicol Region (DA)
Ampalaya,Vegetables,75,115,27/03/2026,Dry,Bicol Region (DA)
Cabbage,Vegetables,85,95,27/03/2026,Dry,Bicol Region (DA)
Carrot,Vegetables,167.58,65,05/03/2026,Dry,Bicol Region (DA)
Eggplant,Vegetables,65,120,27/03/2026,Dry,Bicol Region (DA)
Kangkong,Vegetables,35,245,27/03/2026,Dry,Bicol Region (DA)
Okra,Vegetables,60,110,27/03/2026,Dry,Bicol Region (DA)
Pechay,Vegetables,45,195,27/03/2026,Dry,Bicol Region (DA)
Red Onion,Vegetables,188.55,55,05/03/2026,Dry,Bicol Region (DA)
Squash,Vegetables,55,130,27/03/2026,Dry,Bicol Region (DA)
String Beans (Sitaw),Vegetables,65,105,27/03/2026,Dry,Bicol Region (DA)
Tomato,Vegetables,47,140,05/03/2026,Dry,Bicol Region (DA)
Tomato,Vegetables,70,125,27/03/2026,Dry,Bicol Region (DA)
Banana (Lakatan),Fruits,112.97,75,05/03/2026,Dry,Bicol Region (DA)
Calamansi,Fruits,80,90,27/03/2026,Dry,Bicol Region (DA)
Garlic,Vegetables,140,60,27/03/2026,Dry,Bicol Region (DA)
Ginger,Vegetables,100,80,27/03/2026,Dry,Bicol Region (DA)
Mango Carabao,Fruits,168.86,50,05/03/2026,Dry,Bicol Region (DA)
Papaya,Fruits,60,100,27/03/2026,Dry,Bicol Region (DA)
Pineapple,Fruits,55,110,27/03/2026,Dry,Bicol Region (DA)
Potato,Root Crops,75,85,27/03/2026,Dry,Bicol Region (DA)
Spring Onion,Vegetables,50,155,27/03/2026,Dry,Bicol Region (DA)
Watermelon,Fruits,45,120,27/03/2026,Dry,Bicol Region (DA)
Palay (Clean & Dry),Rice,30,250,13/04/2026,Dry,Sorsogon (NFA)
Palay (Fresh/Wet),Rice,17,300,13/04/2026,Dry,Sorsogon (NFA)
Rice Regular Milled,Rice,51.11,175,05/04/2026,Dry,Bicol Region (DA)
Ampalaya,Vegetables,75,120,13/04/2026,Dry,Bicol Region (DA)
Cabbage,Vegetables,85,100,13/04/2026,Dry,Bicol Region (DA)
Carrot,Vegetables,167.58,70,05/04/2026,Dry,Bicol Region (DA)
Eggplant,Vegetables,65,125,13/04/2026,Dry,Bicol Region (DA)
Kangkong,Vegetables,35,250,13/04/2026,Dry,Bicol Region (DA)
Okra,Vegetables,60,115,13/04/2026,Dry,Bicol Region (DA)
Pechay,Vegetables,45,200,13/04/2026,Dry,Bicol Region (DA)
Red Onion,Vegetables,153.59,60,05/04/2026,Dry,Bicol Region (DA)
Squash,Vegetables,55,135,13/04/2026,Dry,Bicol Region (DA)
String Beans (Sitaw),Vegetables,65,110,13/04/2026,Dry,Bicol Region (DA)
Tomato,Vegetables,70,130,13/04/2026,Dry,Bicol Region (DA)
Banana (Lakatan),Fruits,85,80,13/04/2026,Dry,Bicol Region (DA)
Banana (Saba),Fruits,55,120,13/04/2026,Dry,Bicol Region (DA)
Calamansi,Fruits,80,95,13/04/2026,Dry,Bicol Region (DA)
Cassava,Root Crops,35,160,13/04/2026,Dry,Bicol Region (DA)
Gabi,Root Crops,50,110,13/04/2026,Dry,Bicol Region (DA)
Garlic,Vegetables,140,65,13/04/2026,Dry,Bicol Region (DA)
Ginger,Vegetables,100,85,13/04/2026,Dry,Bicol Region (DA)
Mango Carabao,Fruits,168.86,55,05/04/2026,Dry,Bicol Region (DA)
Papaya,Fruits,60,105,13/04/2026,Dry,Bicol Region (DA)
Pineapple,Fruits,55,115,13/04/2026,Dry,Bicol Region (DA)
Potato,Root Crops,75,90,13/04/2026,Dry,Bicol Region (DA)
Spring Onion,Vegetables,50,160,13/04/2026,Dry,Bicol Region (DA)
Sweet Potato (Camote),Root Crops,40,140,13/04/2026,Dry,Bicol Region (DA)
Watermelon,Fruits,45,125,13/04/2026,Dry,Bicol Region (DA)
