search_term,product_name,search_date,estimated_searches
eggplant,Eggplant,2024-01-05,20
tomato,Tomato,2024-01-15,23
kangkong,Kangkong,2024-01-25,26
ampalaya,Ampalaya,2024-02-04,29
sitaw,Sitaw,2024-02-14,32
okra,Okra,2024-02-24,35
kalabasa,Kalabasa,2024-03-05,38
pechay,Pechay,2024-03-15,41
repolyo,Repolyo,2024-03-25,44
carrots,Carrots,2024-04-04,47
labanos,Labanos,2024-04-14,50
patola,Patola,2024-04-24,53
upo,Upo,2024-05-04,56
sayote,Sayote,2024-05-14,59
malunggay,Malunggay,2024-05-24,62
gabi,Gabi,2024-06-03,65
kamote,Kamote,2024-06-13,68
cassava,Cassava,2024-06-23,71
onion,Onion,2024-07-03,74
garlic,Garlic,2024-07-13,77
ginger,Ginger,2024-07-23,20
bell pepper,Bell Pepper,2024-08-02,23
chili,Chili,2024-08-12,26
cucumber,Cucumber,2024-08-22,29
lettuce,Lettuce,2024-09-01,32
mongo,Mongo,2024-09-11,35
peanut,Peanut,2024-09-21,38
alugbati,Alugbati,2024-10-01,41
mustasa,Mustasa,2024-10-11,44
basil,Basil,2024-10-21,47
